"Package","Version"
"pandoc","0.2.0"
"papaja","0.1.2"
"parallelly","1.36.0"
"parameters","0.21.3"
"parsedate","1.3.1"
"parsnip","1.1.1"
"partitions","1.10-7"
"PASWR","1.3"
"patchwork","1.1.3"
"pbapply","1.7-2"
"pbivnorm","0.6.0"
"pbkrtest","0.5.2"
"pcaPP","2.0-4"
"pdftools","3.4.0"
"PearsonDS","1.3.0"
"performance","0.10.8"
"permute","0.9-7"
"phangorn","2.11.1"
"phosphoricons","0.2.0"
"pillar","1.9.0"
"pingr","2.0.3"
"pkgbuild","1.4.3"
"pkgconfig","2.0.3"
"pkgdown","2.0.7"
"pkgload","1.3.3"
"plm","2.6-3"
"plogr","0.2.0"
"plot3D","1.4"
"plotly","4.10.3"
"plotlyGeoAssets","0.0.2"
"plotrix","3.8-4"
"pls","2.8-3"
"plyr","1.8.9"
"PMCMRplus","1.9.10"
"png","0.1-8"
"poLCA","1.6.0.1"
"polyclip","1.10-6"
"polynom","1.4-1"
"poorman","0.2.7"
"posterior","1.5.0"
"prabclus","2.3-3"
"pracma","2.4.4"
"praise","1.0.0"
"prediction","0.3.14"
"prettydoc","0.4.1"
"prettyunits","1.2.0"
"prismatic","1.1.1"
"pROC","1.18.5"
"processx","3.8.3"
"prodlim","2023.08.28"
"profmem","0.6.0"
"profvis","0.3.8"
"progress","1.2.3"
"progressr","0.14.0"
"promises","1.2.1"
"proto","1.0.0"
"protolite","2.3.0"
"proxy","0.4-27"
"ps","1.7.5"
"psych","2.3.12"
"purrr","1.0.2"
"pvclust","2.2-0"
"qap","0.1-2"
"qpdf","1.3.2"
"qqconf","1.3.2"
"qqplotr","0.0.6"
"quadprog","1.5-8"
"quantmod","0.4.25"
"quantreg","5.97"
"quarto","1.3"
"QuickJSR","1.0.9"
"R.cache","0.16.0"
"R.methodsS3","1.8.2"
"R.oo","1.25.0"
"R.rsp","0.45.0"
"R.utils","2.12.3"
"R6","2.5.1"
"ragg","1.2.7"
"randomForest","4.7-1.1"
"randtoolbox","2.0.4"
"rapidjsonr","1.2.0"
"rappdirs","0.3.3"
"raster","3.6-26"
"ratelimitr","0.4.1"
"rbibutils","2.2.16"
"rcartocolor","2.1.1"
"rChoiceDialogs","1.0.6.1"
"rcmdcheck","1.4.0"
"RColorBrewer","1.1-3"
"Rcpp","1.0.11"
"RcppArmadillo","0.12.6.6.1"
